"TRIMESTRE","TIPO","VALOR"
2013 Q1,"PORCENT_ESP_MED",76.67
2013 Q2,"PORCENT_ESP_MED",76.44
2013 Q3,"PORCENT_ESP_MED",77.57
2013 Q4,"PORCENT_ESP_MED",79.54
2014 Q1,"PORCENT_ESP_MED",76.3
2014 Q2,"PORCENT_ESP_MED",76.04
2014 Q3,"PORCENT_ESP_MED",76.17
2014 Q4,"PORCENT_ESP_MED",79.42
2015 Q1,"PORCENT_ESP_MED",78.66
2015 Q2,"PORCENT_ESP_MED",77.83
2015 Q3,"PORCENT_ESP_MED",78.67
2015 Q4,"PORCENT_ESP_MED",81.55
2016 Q1,"PORCENT_ESP_MED",81.91
2016 Q2,"PORCENT_ESP_MED",83
2016 Q3,"PORCENT_ESP_MED",83.83
2016 Q4,"PORCENT_ESP_MED",85.55
2017 Q1,"PORCENT_ESP_MED",85.56
2017 Q2,"PORCENT_ESP_MED",84.23
2017 Q3,"PORCENT_ESP_MED",83.73
2017 Q4,"PORCENT_ESP_MED",85.47
2018 Q1,"PORCENT_ESP_MED",87.13
2018 Q2,"PORCENT_ESP_MED",89.27
2013 Q1,"PORCENT_ESP_ENF",87.96
2013 Q2,"PORCENT_ESP_ENF",88.05
2013 Q3,"PORCENT_ESP_ENF",87.45
2013 Q4,"PORCENT_ESP_ENF",87.68
2014 Q1,"PORCENT_ESP_ENF",87.37
2014 Q2,"PORCENT_ESP_ENF",88.27
2014 Q3,"PORCENT_ESP_ENF",87.89
2014 Q4,"PORCENT_ESP_ENF",87.36
2015 Q1,"PORCENT_ESP_ENF",85.53
2015 Q2,"PORCENT_ESP_ENF",87.2
2015 Q3,"PORCENT_ESP_ENF",86.16
2015 Q4,"PORCENT_ESP_ENF",87.78
2016 Q1,"PORCENT_ESP_ENF",87.55
2016 Q2,"PORCENT_ESP_ENF",88.06
2016 Q3,"PORCENT_ESP_ENF",88.01
2016 Q4,"PORCENT_ESP_ENF",89.04
2017 Q1,"PORCENT_ESP_ENF",87.27
2017 Q2,"PORCENT_ESP_ENF",88.45
2017 Q3,"PORCENT_ESP_ENF",87.4
2017 Q4,"PORCENT_ESP_ENF",88.7
2018 Q1,"PORCENT_ESP_ENF",88.79
2018 Q2,"PORCENT_ESP_ENF",91.77
2013 Q1,"PORCENT_ESP_ODO",55.06
2013 Q2,"PORCENT_ESP_ODO",55.98
2013 Q3,"PORCENT_ESP_ODO",57.06
2013 Q4,"PORCENT_ESP_ODO",60.04
2014 Q1,"PORCENT_ESP_ODO",54.71
2014 Q2,"PORCENT_ESP_ODO",58.15
2014 Q3,"PORCENT_ESP_ODO",55.62
2014 Q4,"PORCENT_ESP_ODO",60.13
2015 Q1,"PORCENT_ESP_ODO",56.01
2015 Q2,"PORCENT_ESP_ODO",55.46
2015 Q3,"PORCENT_ESP_ODO",60.18
2015 Q4,"PORCENT_ESP_ODO",61.67
2016 Q1,"PORCENT_ESP_ODO",59.36
2016 Q2,"PORCENT_ESP_ODO",59.99
2016 Q3,"PORCENT_ESP_ODO",64.87
2016 Q4,"PORCENT_ESP_ODO",69.95
2017 Q1,"PORCENT_ESP_ODO",61.55
2017 Q2,"PORCENT_ESP_ODO",64.94
2017 Q3,"PORCENT_ESP_ODO",66.55
2017 Q4,"PORCENT_ESP_ODO",68.25
2018 Q1,"PORCENT_ESP_ODO",63.07
2018 Q2,"PORCENT_ESP_ODO",70.89
